Train set: Average loss: 0.0345, Accuracy: 313/425 (74%)
Train set: Average loss: 0.0218, Accuracy: 374/425 (88%)
Train set: Average loss: 0.0162, Accuracy: 383/425 (90%)
Train set: Average loss: 0.0088, Accuracy: 409/425 (96%)
Train set: Average loss: 0.0109, Accuracy: 404/425 (95%)
Train set: Average loss: 0.0067, Accuracy: 413/425 (97%)
Train set: Average loss: 0.0098, Accuracy: 399/425 (94%)
Train set: Average loss: 0.0056, Accuracy: 416/425 (98%)
Train set: Average loss: 0.0050, Accuracy: 414/425 (97%)
Train set: Average loss: 0.0039, Accuracy: 421/425 (99%)
The epoch is 10, average recall: 0.7759, average precision: 0.8333, average F1: 0.8036, average accuracy: 0.8136, average AUC: 0.8928

Train set: Average loss: 0.0038, Accuracy: 419/425 (99%)
Train set: Average loss: 0.0039, Accuracy: 418/425 (98%)
Train set: Average loss: 0.0034, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0029, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0041, Accuracy: 418/425 (98%)
Train set: Average loss: 0.0057, Accuracy: 411/425 (97%)
Train set: Average loss: 0.0046, Accuracy: 414/425 (97%)
Train set: Average loss: 0.0038, Accuracy: 416/425 (98%)
Train set: Average loss: 0.0061, Accuracy: 409/425 (96%)
Train set: Average loss: 0.0066, Accuracy: 407/425 (96%)
The epoch is 20, average recall: 0.7931, average precision: 0.8679, average F1: 0.8288, average accuracy: 0.8390, average AUC: 0.8891

Train set: Average loss: 0.0064, Accuracy: 413/425 (97%)
Train set: Average loss: 0.0058, Accuracy: 411/425 (97%)
Train set: Average loss: 0.0044, Accuracy: 414/425 (97%)
Train set: Average loss: 0.0042, Accuracy: 415/425 (98%)
Train set: Average loss: 0.0022, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0020, Accuracy: 419/425 (99%)
Train set: Average loss: 0.0022, Accuracy: 420/425 (99%)
Train set: Average loss: 0.0039, Accuracy: 418/425 (98%)
Train set: Average loss: 0.0013, Accuracy: 424/425 (100%)
Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)
The epoch is 30, average recall: 0.8276, average precision: 0.7742, average F1: 0.8000, average accuracy: 0.7966, average AUC: 0.8856

Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0021, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0010, Accuracy: 424/425 (100%)
Train set: Average loss: 0.0012, Accuracy: 424/425 (100%)
Train set: Average loss: 0.0020, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0018, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0014, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0017, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0043, Accuracy: 414/425 (97%)
Train set: Average loss: 0.0088, Accuracy: 405/425 (95%)
The epoch is 40, average recall: 0.7586, average precision: 0.8462, average F1: 0.8000, average accuracy: 0.8136, average AUC: 0.8920

Train set: Average loss: 0.0050, Accuracy: 412/425 (97%)
Train set: Average loss: 0.0045, Accuracy: 416/425 (98%)
Train set: Average loss: 0.0037, Accuracy: 417/425 (98%)
Train set: Average loss: 0.0035, Accuracy: 417/425 (98%)
Train set: Average loss: 0.0021, Accuracy: 420/425 (99%)
Train set: Average loss: 0.0026, Accuracy: 419/425 (99%)
Train set: Average loss: 0.0011, Accuracy: 425/425 (100%)
Train set: Average loss: 0.0012, Accuracy: 423/425 (100%)
Train set: Average loss: 0.0009, Accuracy: 425/425 (100%)
Train set: Average loss: 0.0009, Accuracy: 425/425 (100%)
The epoch is 50, average recall: 0.7586, average precision: 0.7857, average F1: 0.7719, average accuracy: 0.7797, average AUC: 0.8954

