Train set: Average loss: 0.0088, Accuracy: 297/425 (70%)
Train set: Average loss: 0.0071, Accuracy: 328/425 (77%)
Train set: Average loss: 0.0044, Accuracy: 353/425 (83%)
Train set: Average loss: 0.0037, Accuracy: 379/425 (89%)
Train set: Average loss: 0.0029, Accuracy: 393/425 (92%)
Train set: Average loss: 0.0020, Accuracy: 400/425 (94%)
Train set: Average loss: 0.0026, Accuracy: 404/425 (95%)
Train set: Average loss: 0.0021, Accuracy: 398/425 (94%)
Train set: Average loss: 0.0013, Accuracy: 412/425 (97%)
Train set: Average loss: 0.0016, Accuracy: 413/425 (97%)
The epoch is 10, average recall: 0.7414, average precision: 0.7818, average F1: 0.7611, average accuracy: 0.7712, average AUC: 0.8575

Train set: Average loss: 0.0016, Accuracy: 410/425 (96%)
Train set: Average loss: 0.0020, Accuracy: 403/425 (95%)
Train set: Average loss: 0.0020, Accuracy: 412/425 (97%)
Train set: Average loss: 0.0014, Accuracy: 406/425 (96%)
Train set: Average loss: 0.0017, Accuracy: 411/425 (97%)
Train set: Average loss: 0.0006, Accuracy: 417/425 (98%)
Train set: Average loss: 0.0015, Accuracy: 416/425 (98%)
Train set: Average loss: 0.0015, Accuracy: 411/425 (97%)
Train set: Average loss: 0.0007, Accuracy: 411/425 (97%)
Train set: Average loss: 0.0012, Accuracy: 413/425 (97%)
The epoch is 20, average recall: 0.7931, average precision: 0.7667, average F1: 0.7797, average accuracy: 0.7797, average AUC: 0.8592

Train set: Average loss: 0.0021, Accuracy: 408/425 (96%)
Train set: Average loss: 0.0051, Accuracy: 400/425 (94%)
Train set: Average loss: 0.0014, Accuracy: 405/425 (95%)
Train set: Average loss: 0.0021, Accuracy: 409/425 (96%)
Train set: Average loss: 0.0019, Accuracy: 417/425 (98%)
Train set: Average loss: 0.0003, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0002, Accuracy: 416/425 (98%)
Train set: Average loss: 0.0007, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0008, Accuracy: 412/425 (97%)
Train set: Average loss: 0.0002, Accuracy: 423/425 (100%)
The epoch is 30, average recall: 0.7931, average precision: 0.8070, average F1: 0.8000, average accuracy: 0.8051, average AUC: 0.8945

Train set: Average loss: 0.0008, Accuracy: 420/425 (99%)
Train set: Average loss: 0.0002, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0003, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0008, Accuracy: 417/425 (98%)
Train set: Average loss: 0.0007, Accuracy: 419/425 (99%)
Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)
Train set: Average loss: 0.0003, Accuracy: 423/425 (100%)
Train set: Average loss: 0.0003, Accuracy: 422/425 (99%)
Train set: Average loss: 0.0009, Accuracy: 418/425 (98%)
Train set: Average loss: 0.0016, Accuracy: 416/425 (98%)
The epoch is 40, average recall: 0.7931, average precision: 0.7931, average F1: 0.7931, average accuracy: 0.7966, average AUC: 0.8710

Train set: Average loss: 0.0031, Accuracy: 410/425 (96%)
Train set: Average loss: 0.0007, Accuracy: 415/425 (98%)
Train set: Average loss: 0.0011, Accuracy: 410/425 (96%)
Train set: Average loss: 0.0002, Accuracy: 420/425 (99%)
Train set: Average loss: 0.0002, Accuracy: 409/425 (96%)
Train set: Average loss: 0.0007, Accuracy: 418/425 (98%)
Train set: Average loss: 0.0002, Accuracy: 421/425 (99%)
Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)
Train set: Average loss: 0.0008, Accuracy: 419/425 (99%)
Train set: Average loss: 0.0001, Accuracy: 423/425 (100%)
The epoch is 50, average recall: 0.7931, average precision: 0.8214, average F1: 0.8070, average accuracy: 0.8136, average AUC: 0.8807

